case_id,category,collar,sleeve_style,cuff,placket,silhouette,garment_length,collar_orig,sleeve_style_orig,cuff_orig,placket_orig,silhouette_orig,garment_length_orig,pieces,edge_chains,notches,notch_matched,notch_unmatched,match_rate,piece_assembly,review_state,updated_at,notes
C2530137,shirt,open-v-pointed,regular,gathered,full,fitted-x,regular,,,,,,,8,123,0,0,0,-,local_assembly_v1,reviewed,2026-08-08T10:41:49.872224+00:00,V型敞开领；常规长袖，肩部有轻微垫肩；袖口抽褶；前门襟全开；收腰X型廓形；短款衣长。
C2530175,shirt,open-v-pointed,bell,unknown,full,regular-fit,regular,,,,,,,8,94,0,0,0,-,local_assembly_v1,reviewed,2026-08-08T10:42:13.432447+00:00,V型敞开尖领；常规短袖配平整袖口；全开襟有明显门襟条；合身剪裁；常规衣长
C2530423,shirt,pointed,regular,regular,full,relaxed-h,regular,,,,,,,12,120,10,10,0,100.0%,local_assembly_v1,reviewed,2026-08-08T10:42:36.889602+00:00,经典尖领，扣到领口；常规长袖；袖口为常规克夫；前门襟全开；廓形为直筒宽松H型；衣长常规。
C2530429,shirt,non_composable,regular,gathered,ruffled,relaxed-h,regular,,,,,,,8,95,14,14,0,100.0%,local_assembly_v1,reviewed,2026-08-08T10:31:43.481337+00:00,领口为带褶皱的立领，不在词表内；袖山有轻微泡泡袖效果；袖口为常规克夫；前门襟有明显荷叶边装饰；廓形为宽松H型；衣长常规。
C2530534,shirt,non_composable,regular,unknown,full,regular-fit,short,,,,,,,6,123,12,12,0,100.0%,local_assembly_v1,reviewed,2026-08-08T10:32:18.738560+00:00,领口带有系带蝴蝶结领；常规直袖；整体有规则压褶面料无明显前门襟可见；合身廓形；常规衣长
C2530581,shirt,pointed,regular,regular,half,relaxed-h,long,,,,,,,8,163,20,20,0,100.0%,local_assembly_v1,reviewed,2026-08-08T10:42:57.130128+00:00,正装尖领；常规装袖；常规袖克夫；半开襟；宽松H型廓形；长款衣长
C2530633,shirt,bow-tie,regular,regular,full,relaxed-h,regular,,,,,,,8,134,0,0,0,-,local_assembly_v1,reviewed,2026-08-08T10:43:14.350970+00:00,系带蝴蝶结领；常规袖及常规袖口；全开襟；宽松H型廓形；常规衣长
C2530642,shirt,bow-tie,puff,ruffled,full,regular-fit,regular,,,,,,,12,92,0,0,0,-,local_assembly_v1,reviewed,2026-08-08T10:43:33.088994+00:00,
C2530682,shirt,open-v-pointed,regular,unknown,half,oversized,regular,,,,,,,14,90,0,0,0,-,local_assembly_v1,reviewed,2026-08-08T11:19:15.147452+00:00,V型敞开尖领；常规直筒袖，袖口卷起但无褶皱或荷叶边；半开襟；宽松H型廓形；常规衣长。
C2530692,shirt,non_composable,flutter,unknown,unknown,a-line,regular,,,,,,,8,59,0,0,0,-,local_assembly_v1,reviewed,2026-08-08T10:33:15.431385+00:00,领型为花边立领（不在四类内故为unknown）；飞袖；前中开半襟并带系带蝴蝶结；合身廓形；常规衣长
C2530694,shirt,open-v-pointed,unknown,regular,half,regular-fit,regular,,,,,,,14,129,0,0,0,-,local_assembly_v1,reviewed,2026-08-08T11:20:03.405947+00:00,V型敞开尖领；袖子为常规短袖配翻边袖口；半开襟至胸中部；合身廓形；常规衣长。
C2530790,shirt,non_composable,puff,gathered,non_composable,fitted-x,regular,,,,,,,12,75,8,8,0,100.0%,remote_v1_artifact,reviewed,2026-08-08T11:20:57.199669+00:00,
C2530900,shirt,non_composable,bell,unknown,half,relaxed-h,regular,,,,,,,10,105,0,0,0,-,local_assembly_v1,reviewed,2026-08-08T10:34:41.131738+00:00,立领设计，前中V型开襟带系带，无法归类；常规袖；平直袖口；宽松H型廓形；常规衣长。
C2531023,shirt,pointed,regular,regular,full,a-line,regular,,,,,,,10,152,20,20,0,100.0%,local_assembly_v1,reviewed,2026-08-08T11:21:27.068739+00:00,休闲翻领；常规长袖；常规克夫袖口；全开襟；合身廓形；常规衣长
